GENERO,ESTADO_CIVIL,FORMA_INGRESSO,NOME_ATIV_CURRIC,CH_TOTAL,NUM_FALTAS,MEDIA_FINAL,IDADE_PRIMEIRO_ANO,DURACAO_CURSO,CREDITO_TEORICO,CREDITO_PRATICO,CREDITO_CAMPO,PERCENTUAL_FREQUENCIA_PERIODO,PERCENTUAL_FREQUENCIA_DISCIPLINA,MEDIA_PERIODO,MEDIA_SEMESTRE,SITUACAO
M,Solteiro(a),Vestibular,Geometria Analítica para Educação Básica,60.0,0.0,8.5,18,11.0,4,0,0,74.15,100.0,4.12,6.44,Aprovado
M,Solteiro(a),Vestibular,Geometria Analítica para Educação Básica,60.0,2.0,8.15,19,7.0,4,0,0,96.53,97.22,7.91,7.91,Aprovado
F,Solteiro(a),Vestibular,Geometria Analítica para Educação Básica,60.0,0.0,8.65,18,7.0,4,0,0,79.44,100.0,3.56,6.37,Aprovado
M,Solteiro(a),Vestibular,Geometria Analítica para Educação Básica,60.0,2.0,8.0,18,3.0,4,0,0,67.26,97.22,2.9,5.07,Aprovado
M,Solteiro(a),Vestibular,Geometria Analítica para Educação Básica,60.0,2.0,8.55,18,9.0,4,0,0,64.35,97.22,4.03,4.03,Aprovado
M,Solteiro(a),Vestibular,Geometria Analítica para Educação Básica,60.0,5.0,8.0,17,9.0,4,0,0,93.33,93.06,6.48,6.38,Aprovado
M,Solteiro(a),Vestibular,Geometria Analítica para Educação Básica,60.0,0.0,8.5,19,9.0,4,0,0,96.88,100.0,8.14,8.14,Aprovado
M,Solteiro(a),Vestibular,Geometria Analítica para Educação Básica,60.0,2.0,9.0,44,7.0,4,0,0,78.39,97.22,4.5,5.06,Aprovado
M,Solteiro(a),Vestibular,Geometria Analítica para Educação Básica,60.0,2.0,8.8,19,5.0,4,0,0,70.14,97.22,5.29,5.29,Aprovado
M,Casado(a),Vestibular,Geometria Analítica para Educação Básica,60.0,0.0,8.25,23,5.0,4,0,0,96.88,100.0,8.41,8.41,Aprovado
M,Solteiro(a),Transferência Externa,Geometria Analítica para Educação Básica,60.0,18.0,5.0,19,12.0,4,0,0,60.74,75.0,2.95,2.59,Aprovado
M,Solteiro(a),Transferência Externa,Geometria Analítica para Educação Básica,60.0,6.0,1.45,19,12.0,4,0,0,60.74,91.67,2.95,2.68,Reprovado
M,Solteiro(a),Transferência Externa,Geometria Analítica para Educação Básica,60.0,16.0,1.6,19,12.0,4,0,0,60.74,77.78,2.95,2.11,Reprovado
M,Solteiro(a),Transferência Externa,Geometria Analítica para Educação Básica,60.0,14.0,0.0,19,12.0,4,0,0,60.74,80.56,2.95,0.36,Reprovado
F,Solteiro(a),Transferência Externa,Geometria Analítica para Educação Básica,72.0,6.0,2.65,19,5.0,4,0,0,55.42,93.06,3.14,5.59,Reprovado
F,Casado(a),Vestibular,Geometria Analítica para Educação Básica,60.0,0.0,9.15,25,7.0,4,0,0,96.87,100.0,8.66,8.66,Aprovado
M,Solteiro(a),Processo Seletivo - SiSU,Geometria Analítica para Educação Básica,60.0,0.0,0.0,35,6.0,4,0,0,44.3,100.0,0.0,0.0,Reprovado
M,Solteiro(a),Vestibular,Geometria Analítica para Educação Básica,60.0,2.0,9.0,19,3.0,4,0,0,97.22,97.22,6.8,7.37,Aprovado
M,Solteiro(a),Vestibular,Geometria Analítica para Educação Básica,60.0,6.0,8.75,20,7.0,4,0,0,98.26,91.67,7.94,7.94,Aprovado
F,Solteiro(a),Transferência Externa,Geometria Analítica para Educação Básica,60.0,72.0,0.0,21,7.0,4,0,0,3.89,0.0,0.07,1.28,Reprovado por Freqüência
F,Solteiro(a),Transferência Externa,Geometria Analítica para Educação Básica,60.0,72.0,0.0,21,7.0,4,0,0,3.89,0.0,0.07,0.0,Reprovado por Freqüência
F,Solteiro(a),Vestibular,Geometria Analítica para Educação Básica,60.0,3.0,8.0,19,5.0,4,0,0,98.78,95.83,8.36,8.36,Aprovado
