GENERO,ESTADO_CIVIL,FORMA_INGRESSO,NOME_ATIV_CURRIC,CH_TOTAL,NUM_FALTAS,MEDIA_FINAL,IDADE_PRIMEIRO_ANO,DURACAO_CURSO,CREDITO_TEORICO,CREDITO_PRATICO,CREDITO_CAMPO,PERCENTUAL_FREQUENCIA_PERIODO,PERCENTUAL_FREQUENCIA_DISCIPLINA,MEDIA_PERIODO,MEDIA_SEMESTRE,SITUACAO)
M,Solteiro(a),Vestibular,Sociologia,30.0,2.0,9.0,20,4.0,2,0,0,98.09,94.44,9.17,9.17,Aprovado
M,Solteiro(a),Processo Seletivo - SiSU,Sociologia,30.0,16.0,0.0,29,4.0,2,0,0,38.89,55.56,0.0,2.59,Reprovado por Freqüência
M,Solteiro(a),Vestibular,Sociologia,30.0,2.0,10.0,20,11.0,2,0,0,72.48,94.44,6.34,8.91,Aprovado
M,Solteiro(a),Vestibular,Sociologia,30.0,36.0,0.0,20,11.0,2,0,0,72.48,0.0,6.34,0.4,Reprovado por Freqüência
M,Solteiro(a),Vestibular,Sociologia,30.0,12.0,0.0,20,11.0,2,0,0,72.48,66.67,6.34,0.65,Reprovado por Freqüência
M,Solteiro(a),Vestibular,Sociologia,30.0,6.0,6.0,19,8.0,2,0,0,72.22,83.33,4.79,5.73,Aprovado
M,Solteiro(a),Vestibular,Sociologia,30.0,6.0,7.12,17,5.0,2,0,0,92.53,83.33,8.05,8.3,Aprovado
M,Solteiro(a),Vestibular,Sociologia,30.0,2.0,10.0,18,5.0,2,0,0,95.14,94.44,8.57,9.14,Aprovado
M,Solteiro(a),Vestibular,Sociologia,30.0,26.0,0.75,24,6.0,2,0,0,43.52,27.78,1.85,1.71,Reprovado por Freqüência
M,Solteiro(a),Vestibular,Sociologia,30.0,36.0,0.0,20,7.0,2,0,0,23.33,0.0,1.6,0.0,Reprovado por Freqüência
M,Solteiro(a),Vestibular,Sociologia,30.0,36.0,0.0,24,5.0,2,0,0,4.17,0.0,0.0,0.19,Reprovado por Freqüência
M,Solteiro(a),Vestibular,Sociologia,30.0,2.0,10.0,18,11.0,2,0,0,92.36,94.44,7.5,5.82,Aprovado
M,Solteiro(a),Vestibular,Sociologia,30.0,2.0,10.0,16,5.0,2,0,0,91.67,94.44,6.68,7.65,Aprovado
M,Solteiro(a),Vestibular,Sociologia,30.0,2.0,10.0,18,5.0,2,0,0,94.1,94.44,8.01,8.99,Aprovado
F,Solteiro(a),Vestibular,Sociologia,30.0,2.0,10.0,19,9.0,2,0,0,94.13,94.44,6.48,6.6,Aprovado
M,Solteiro(a),Vestibular,Sociologia,30.0,8.0,6.55,18,7.0,2,0,0,90.74,77.78,6.09,4.25,Aprovado
M,Solteiro(a),Vestibular,Sociologia,30.0,2.0,10.0,25,5.0,2,0,0,88.27,94.44,7.5,8.7,Aprovado
F,Solteiro(a),Vestibular,Sociologia,30.0,4.0,10.0,20,8.0,2,0,0,90.28,88.89,6.24,5.94,Aprovado
M,Solteiro(a),Vestibular,Sociologia,30.0,2.0,10.0,20,7.0,2,0,0,95.06,94.44,7.41,7.47,Aprovado
F,Solteiro(a),Vestibular,Sociologia,30.0,22.0,0.0,18,7.0,2,0,0,42.22,38.89,0.96,0.0,Reprovado por Freqüência
F,Solteiro(a),Vestibular,Sociologia,30.0,36.0,0.0,18,7.0,2,0,0,42.22,0.0,0.96,1.51,Reprovado por Freqüência
F,Solteiro(a),Vestibular,Sociologia,30.0,14.0,0.75,18,7.0,2,0,0,42.22,61.11,0.96,3.21,Reprovado por Freqüência
M,Solteiro(a),Vestibular,Sociologia,30.0,3.0,8.0,18,9.0,2,0,0,92.08,91.67,5.61,4.0,Aprovado
M,Solteiro(a),Vestibular,Sociologia,30.0,2.0,10.0,17,9.0,2,0,0,93.75,94.44,7.38,5.69,Aprovado
