PERIODO_IDEAL ,GENERO ,ESTADO_CIVIL  ,FORMA_INGRESSO               ,NOME_ATIV_CURRIC                               ,CH_TOTAL ,NUM_FALTAS ,MEDIA_FINAL ,SITUACAO                 ,IDADE_PRIMEIRO_ANO ,DURACAO_CURSO ,CREDITO_TEORICO ,CREDITO_PRATICO ,CREDITO_CAMPO ,PERCENTUAL_FREQUENCIA_PERIODO ,PERCENTUAL_FREQUENCIA_DISCIPLINA ,MEDIA_PERIODO ,MEDIA_SEMESTRE ,FORMA_EVASAO
            1 ,M      ,Solteiro(a)   ,Vestibular                   ,Geometria Analítica para Educação Básica       ,    60.0 ,       8.0 ,       3.92 ,Reprovado                ,                25 ,          5.0 ,              4 ,              0 ,            0 ,                        87.5  ,                           88.89 ,         5.16 ,          6.45 ,Desistência
            1 ,M      ,Solteiro(a)   ,Vestibular                   ,Geometria Analítica para Educação Básica       ,    60.0 ,       3.0 ,       5.35 ,Aprovado                 ,                23 ,          5.0 ,              4 ,              0 ,            0 ,                        82.74 ,                           95.83 ,         5.54 ,          5.54 ,Jubilamento
            1 ,M      ,Solteiro(a)   ,Vestibular                   ,Geometria Analítica para Educação Básica       ,    60.0 ,       2.0 ,       8.95 ,Aprovado                 ,                20 ,          4.0 ,              4 ,              0 ,            0 ,                        98.96 ,                           97.22 ,         8.8  ,          8.8  ,Formado
            1 ,M      ,Solteiro(a)   ,Processo Seletivo - SiSU     ,Geometria Analítica para Educação Básica       ,    60.0 ,       0.0 ,       2.1  ,Reprovado                ,                29 ,          4.0 ,              4 ,              0 ,            0 ,                        46.11 ,                          100.0  ,         1.36 ,          5.34 ,Jubilamento
            1 ,M      ,Solteiro(a)   ,Processo Seletivo - SiSU     ,Geometria Analítica para Educação Básica       ,    60.0 ,      66.0 ,       0.0  ,Reprovado por Freqüência ,                29 ,          4.0 ,              4 ,              0 ,            0 ,                        46.11 ,                            8.33 ,         1.36 ,          2.25 ,Jubilamento
            1 ,M      ,Solteiro(a)   ,Processo Seletivo - SiSU     ,Geometria Analítica para Educação Básica       ,    60.0 ,      32.0 ,       0.0  ,Reprovado por Freqüência ,                29 ,          4.0 ,              4 ,              0 ,            0 ,                        46.11 ,                           55.56 ,         1.36 ,          0.0  ,Jubilamento
            1 ,M      ,Solteiro(a)   ,Vestibular                   ,Geometria Analítica para Educação Básica       ,    60.0 ,      72.0 ,       0.0  ,Reprovado por Freqüência ,                25 ,          7.0 ,              4 ,              0 ,            0 ,                        21.58 ,                            0.0  ,         0.0  ,          0.0  ,Jubilamento
            1 ,M      ,Solteiro(a)   ,Vestibular                   ,Geometria Analítica para Educação Básica       ,    60.0 ,       0.0 ,       9.0  ,Aprovado                 ,                16 ,          5.0 ,              4 ,              0 ,            0 ,                        96.3  ,                          100.0  ,         7.56 ,          7.33 ,Formado
            1 ,M      ,Solteiro(a)   ,Vestibular                   ,Geometria Analítica para Educação Básica       ,    60.0 ,       0.0 ,       9.4  ,Aprovado                 ,                18 ,          5.0 ,              4 ,              0 ,            0 ,                        99.31 ,                          100.0  ,         8.88 ,          8.88 ,Formado
            1 ,F      ,Solteiro(a)   ,Vestibular                   ,Geometria Analítica para Educação Básica       ,    60.0 ,       0.0 ,       8.9  ,Aprovado                 ,                19 ,          9.0 ,              4 ,              0 ,            0 ,                        97.92 ,                          100.0  ,         8.18 ,          8.18 ,Jubilamento
            1 ,M      ,Solteiro(a)   ,Vestibular                   ,Geometria Analítica para Educação Básica       ,    60.0 ,       0.0 ,       8.0  ,Aprovado                 ,                24 ,          5.0 ,              4 ,              0 ,            0 ,                        76.52 ,                          100.0  ,         4.1  ,          5.63 ,Jubilamento
            1 ,M      ,Solteiro(a)   ,Vestibular                   ,Geometria Analítica para Educação Básica       ,    60.0 ,       4.0 ,       8.25 ,Aprovado                 ,                18 ,          7.0 ,              4 ,              0 ,            0 ,                        87.88 ,                           94.44 ,         5.94 ,          6.95 ,Jubilamento
            1 ,M      ,Solteiro(a)   ,Vestibular                   ,Geometria Analítica para Educação Básica       ,    60.0 ,       0.0 ,       8.75 ,Aprovado                 ,                33 ,          7.0 ,              4 ,              0 ,            0 ,                        99.31 ,                          100.0  ,         8.7  ,          6.96 ,Jubilamento
            1 ,M      ,Solteiro(a)   ,Vestibular                   ,Geometria Analítica para Educação Básica       ,    60.0 ,       0.0 ,       9.25 ,Aprovado                 ,                25 ,          5.0 ,              4 ,              0 ,            0 ,                        96.18 ,                          100.0  ,         8.86 ,          8.86 ,Formado
            1 ,F      ,Solteiro(a)   ,Vestibular                   ,Geometria Analítica para Educação Básica       ,    60.0 ,       0.0 ,       9.4  ,Aprovado                 ,                20 ,          8.0 ,              4 ,              0 ,            0 ,                        96.87 ,                          100.0  ,         8.82 ,          8.82 ,Formado
            1 ,M      ,Solteiro(a)   ,Vestibular                   ,Geometria Analítica para Educação Básica       ,    60.0 ,       0.0 ,       8.25 ,Aprovado                 ,                18 ,          7.0 ,              4 ,              0 ,            0 ,                        97.92 ,                          100.0  ,         7.33 ,          7.33 ,Jubilamento
            1 ,F      ,Solteiro(a)   ,Vestibular                   ,Geometria Analítica para Educação Básica       ,    60.0 ,       2.0 ,       8.75 ,Aprovado                 ,                18 ,          5.0 ,              4 ,              0 ,            0 ,                        96.53 ,                           97.22 ,         8.51 ,          8.51 ,Jubilamento
