PERIODO_IDEAL,GENERO,ESTADO_CIVIL,FORMA_INGRESSO,NOME_ATIV_CURRIC,CH_TOTAL,NUM_FALTAS,MEDIA_FINAL,SITUACAO,IDADE_PRIMEIRO_ANO,DURACAO_CURSO,CREDITO_TEORICO,CREDITO_PRATICO,CREDITO_CAMPO,PERCENTUAL_FREQUENCIA_PERIODO,PERCENTUAL_FREQUENCIA_DISCIPLINA,MEDIA_PERIODO,MEDIA_SEMESTRE,FORMA_EVASAO
6,M,Solteiro(a),Vestibular,Sociologia,30.0,4.0,8.0,Aprovado,18,11.0,2,0,0,90.28,88.89,4.7,5.94,Jubilamento
6,M,Solteiro(a),Vestibular,Sociologia,30.0,36.0,0.0,Reprovado por Freqüência,18,8.0,2,0,0,38.89,0.0,1.28,0.09,Jubilamento
6,M,Solteiro(a),Vestibular,Sociologia,30.0,18.0,0.38,Reprovado por Freqüência,18,8.0,2,0,0,38.89,50.0,1.28,0.21,Jubilamento
6,M,Solteiro(a),Vestibular,Sociologia,30.0,4.0,8.3,Aprovado,17,8.0,2,0,0,59.72,88.89,2.46,6.61,Jubilamento
6,M,Solteiro(a),Vestibular,Sociologia,30.0,6.0,2.38,Reprovado,17,8.0,2,0,0,59.72,83.33,2.46,5.94,Jubilamento
6,F,Não informado,Vestibular,Sociologia,30.0,4.0,8.0,Aprovado,26,7.0,2,0,0,95.22,88.89,5.95,7.38,Formado
6,F,Solteiro(a),Vestibular,Sociologia,30.0,0.0,1.25,Reprovado,18,4.0,2,0,0,16.05,100.0,0.25,0.25,Desistência
6,M,Solteiro(a),Vestibular,Sociologia,30.0,6.0,5.5,Aprovado,18,8.0,2,0,0,87.35,83.33,6.02,4.74,Jubilamento
6,M,Solteiro(a),Vestibular,Sociologia,30.0,4.0,4.5,Reprovado,20,8.0,2,0,0,74.31,88.89,3.79,5.63,Jubilamento
6,M,Solteiro(a),Vestibular,Sociologia,30.0,6.0,5.38,Aprovado,18,11.0,2,0,0,89.7,83.33,5.81,6.99,Formado
6,M,Solteiro(a),Vestibular,Sociologia,30.0,4.0,5.38,Aprovado,17,7.0,2,0,0,93.06,88.89,6.52,7.43,Formado
6,M,Não informado,Vestibular,Sociologia,30.0,4.0,7.75,Aprovado,18,4.0,2,0,0,96.01,88.89,8.83,8.75,Formado
6,M,Solteiro(a),Vestibular,Sociologia,30.0,2.0,9.0,Aprovado,18,5.0,2,0,0,95.14,94.44,8.65,8.9,Formado
6,M,Solteiro(a),Vestibular,Sociologia,30.0,19.0,0.0,Reprovado por Freqüência,23,5.0,2,0,0,30.56,47.22,0.0,0.0,Jubilamento
6,F,Solteiro(a),Transferência Externa,Sociologia,30.0,16.0,3.5,Reprovado por Freqüência,20,10.0,2,0,0,56.19,55.56,0.46,1.26,Jubilamento
6,M,Solteiro(a),Vestibular,Sociologia,30.0,4.0,6.25,Aprovado,19,6.0,2,0,0,91.84,88.89,6.64,7.7,Formado
6,M,Solteiro(a),Vestibular,Sociologia,30.0,2.0,9.0,Aprovado,20,4.0,2,0,0,98.09,94.44,9.17,9.17,Formado
6,M,Solteiro(a),Processo Seletivo - SiSU,Sociologia,30.0,16.0,0.0,Reprovado por Freqüência,29,4.0,2,0,0,38.89,55.56,0.0,2.59,Jubilamento
6,M,Solteiro(a),Vestibular,Sociologia,30.0,2.0,10.0,Aprovado,20,11.0,2,0,0,72.48,94.44,6.34,8.91,Formado
6,M,Solteiro(a),Vestibular,Sociologia,30.0,36.0,0.0,Reprovado por Freqüência,20,11.0,2,0,0,72.48,0.0,6.34,0.4,Formado
6,M,Solteiro(a),Vestibular,Sociologia,30.0,12.0,0.0,Reprovado por Freqüência,20,11.0,2,0,0,72.48,66.67,6.34,0.65,Formado
6,M,Solteiro(a),Vestibular,Sociologia,30.0,6.0,6.0,Aprovado,19,8.0,2,0,0,72.22,83.33,4.79,5.73,Jubilamento
6,M,Solteiro(a),Vestibular,Sociologia,30.0,6.0,7.12,Aprovado,17,5.0,2,0,0,92.53,83.33,8.05,8.3,Formado
6,M,Solteiro(a),Vestibular,Sociologia,30.0,2.0,10.0,Aprovado,18,5.0,2,0,0,95.14,94.44,8.57,9.14,Formado
6,M,Solteiro(a),Vestibular,Sociologia,30.0,26.0,0.75,Reprovado por Freqüência,24,6.0,2,0,0,43.52,27.78,1.85,1.71,Desistência
6,M,Solteiro(a),Vestibular,Sociologia,30.0,36.0,0.0,Reprovado por Freqüência,20,7.0,2,0,0,23.33,0.0,1.6,0.0,Jubilamento
6,M,Solteiro(a),Vestibular,Sociologia,30.0,36.0,0.0,Reprovado por Freqüência,24,5.0,2,0,0,4.17,0.0,0.0,0.19,Desistência
6,M,Solteiro(a),Vestibular,Sociologia,30.0,2.0,10.0,Aprovado,18,11.0,2,0,0,92.36,94.44,7.5,5.82,Jubilamento
6,M,Solteiro(a),Vestibular,Sociologia,30.0,2.0,10.0,Aprovado,16,5.0,2,0,0,91.67,94.44,6.68,7.65,Formado
6,M,Solteiro(a),Vestibular,Sociologia,30.0,2.0,10.0,Aprovado,18,5.0,2,0,0,94.1,94.44,8.01,8.99,Formado
6,F,Solteiro(a),Vestibular,Sociologia,30.0,2.0,10.0,Aprovado,19,9.0,2,0,0,94.13,94.44,6.48,6.6,Jubilamento
6,M,Solteiro(a),Vestibular,Sociologia,30.0,8.0,6.55,Aprovado,18,7.0,2,0,0,90.74,77.78,6.09,4.25,Jubilamento
6,M,Solteiro(a),Vestibular,Sociologia,30.0,2.0,10.0,Aprovado,25,5.0,2,0,0,88.27,94.44,7.5,8.7,Formado
6,F,Solteiro(a),Vestibular,Sociologia,30.0,4.0,10.0,Aprovado,20,8.0,2,0,0,90.28,88.89,6.24,5.94,Formado
6,M,Solteiro(a),Vestibular,Sociologia,30.0,2.0,10.0,Aprovado,20,7.0,2,0,0,95.06,94.44,7.41,7.47,Formado
6,F,Solteiro(a),Vestibular,Sociologia,30.0,22.0,0.0,Reprovado por Freqüência,18,7.0,2,0,0,42.22,38.89,0.96,0.0,Jubilamento
6,F,Solteiro(a),Vestibular,Sociologia,30.0,36.0,0.0,Reprovado por Freqüência,18,7.0,2,0,0,42.22,0.0,0.96,1.51,Jubilamento
6,F,Solteiro(a),Vestibular,Sociologia,30.0,14.0,0.75,Reprovado por Freqüência,18,7.0,2,0,0,42.22,61.11,0.96,3.21,Jubilamento
6,M,Solteiro(a),Vestibular,Sociologia,30.0,3.0,8.0,Aprovado,18,9.0,2,0,0,92.08,91.67,5.61,4.0,Formado
6,M,Solteiro(a),Vestibular,Sociologia,30.0,2.0,10.0,Aprovado,17,9.0,2,0,0,93.75,94.44,7.38,5.69,Formado
6,M,Solteiro(a),Vestibular,Sociologia,30.0,2.0,10.0,Aprovado,19,9.0,2,0,0,88.89,94.44,7.89,5.49,Formado
